date,team1,team2,1,X,2
2024-03-09,Valladolid,Getafe,+111,+220,+383
2024-03-08,Barcelona,Mallorca,+227,+357,+618
2024-03-04,Osasuna,Alaves,+136,+204,+237
2024-03-03,Ath Bilbao,Barcelona,+217,+252,+124
2024-03-03,Mallorca,Girona,+250,+225,+118
2024-03-03,Atl. Madrid,Betis,+192,+329,+520
2024-03-03,Villarreal,Granada,+137,+291,+362
2024-03-02,Valencia,Real Madrid,+454,+292,+159
2024-03-02,Getafe,Las Palmas,+102,+222,+301
2024-03-02,Rayo Vallecano,Cadiz,+132,+237,+433
2024-03-02,Sevilla,Real Sociedad,+170,+191,+195
2024-03-01,Celta Vigo,Almeria,+123,+273,+340
2024-02-26,Girona,Rayo Vallecano,+161,+305,+423
2024-02-25,Real Madrid,Sevilla,+370,+488,+900
2024-02-25,Las Palmas,Osasuna,+142,+200,+225
2024-02-25,Betis,Ath Bilbao,+272,+227,+108
2024-02-25,Cadiz,Celta Vigo,+220,+198,+148
2024-02-24,Almeria,Atl. Madrid,+394,+288,+143
2024-02-24,Alaves,Mallorca,+112,+204,+408
2024-02-24,Barcelona,Getafe,+250,+392,+625
2024-02-23,Real Sociedad,Villarreal,+164,+291,+441
2024-02-19,Ath Bilbao,Girona,+118,+261,+321
2024-02-18,Betis,Alaves,+133,+213,+229
2024-02-18,Mallorca,Real Madrid,+275,+175,+135
2024-02-18,Granada,Almeria,+119,+237,+233
2024-02-18,Rayo Vallecano,Real Madrid,+417,+292,+154
2024-02-17,Valencia,Sevilla,+125,+218,+243
2024-02-17,Celta Vigo,Barcelona,+278,+273,+109
2024-02-17,Osasuna,Cadiz,+128,+231,+424
2024-02-17,Atl. Madrid,Las Palmas,+227,+338,+625
2024-02-16,Villarreal,Getafe,+100,+257,+258
2024-02-12,Almeria,Ath Bilbao,+351,+261,+125
2024-02-11,Barcelona,Granada,+588,+671,+1268
2024-02-11,Sevilla,Atl. Madrid,+260,+254,+102
2024-02-11,Mallorca,Rayo Vallecano,+142,+179,+250
2024-02-11,Getafe,Celta Vigo,+117,+206,+272
2024-02-10,Las Palmas,Valencia,+156,+198,+209
2024-02-10,Real Madrid,Girona,+244,+420,+541
2024-02-10,Real Sociedad,Osasuna,+135,+225,+475
2024-02-10,Alaves,Villarreal,+117,+244,+233
2024-02-09,Cadiz,Betis,+200,+195,+162
2024-02-05,Rayo Vallecano,Sevilla,+112,+225,+266
2024-02-04,Real Madrid,Atl. Madrid,+147,+307,+366
2024-02-04,Betis,Getafe,+100,+225,+313
2024-02-04,Osasuna,Celta Vigo,+116,+206,+277
2024-02-04,Villarreal,Cadiz,+169,+307,+457
2024-02-03,Girona,Real Sociedad,+102,+242,+272
2024-02-03,Alaves,Barcelona,+313,+260,+114
2024-02-03,Granada,Las Palmas,+117,+227,+249
2024-02-03,Valencia,Almeria,+145,+278,+409
